Row,ID,Question,Evidence,Answer,Overall,Evidence support,Usefulness,Note
1,V33-HR-001,How is this page organized?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Mexico"",""World War and public-information graphics"",""Advertisement""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this archive view organizes source-linked records by topology, folders, surface type, and evidence fields.",,,,
2,V33-HR-002,How should I orient myself between Global / release gate expansion and Global / release gate expansion records in this archive?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""France"",""Travel and transport poster culture"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]} ; {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, the archive view is a comprehensive collection of visual and design records organized by geography and typography, managed by Wikimedia Commons and the Paganini archive. Specific rights states and image-state codes define its scope.",,,,
3,V33-HR-003,I am lost. What is the simplest next step from here?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""India"",""Midcentury modern graphic communication"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]} ; {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, the simplest next step is to access the unresolvable region folder.",,,,
4,V33-HR-004,I found SURF-GA1970R001; what is a simple next step?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""France"",""Midcentury modern graphic communication"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this is a source-linked research archive for graphic design and visual communication records. It organizes records through folders/topology: France, Midcentury modern graphic communication, Graphic design object record, United States, Poster. Surface types in the packet: sheet. Publication roles in the packet: main_sheet, support_packet_appendix_text. Source families represented: Gallica / BnF APIs, Art Institute of Chicago API. Rights states represented: open_candidate, rights_review_required. Image-state codes represented: IMG03, IMG00.",,,,
5,V33-HR-005,I found SURF-CRG2026R0071; what is a simple next step?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this is a source-linked research archive for graphic design and visual communication records. It organizes records through folders/topology: Unresolved region, Modern typography and layout, Graphic design object record, United States, Midcentury modern graphic communication, Poster, France. Surface types in the packet: sheet. Publication roles in the packet: main_sheet, support_packet_appendix_text. Source families represented: Wikimedia Commons file source / The Soviet Union 1977 CPA 4695 stamp (Birth centenary of Felix Dzerzhinsky, 'Iron Felix', Bolshevik revolutionary and official, led Cheka and OGPU). png / page 102829467, Art Institute of Chicago API, Gallica / Bn",,,,
6,V33-HR-006,Explain SURF-CRG2026R0274 using only source-linked evidence.,"record_id: SURF-CRG2026R0274
title: Sergey Filippov PSE Russia 2012.jpg
date_text: 1912
region: Global / release gate expansion
source: {""name"":""Wikimedia Commons file source / Sergey Filippov PSE Russia 2012.jpg / page 25675602"",""url"":""https://commons.wikimedia.org/wiki/File:Sergey_Filippov_PSE_Russia_2012.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary source.",,,,
7,V33-HR-007,Explain SURF-CGS2026R0328 using only source-linked evidence.,"record_id: SURF-CGS2026R0328
title: El restaurador de las leyes.jpg
date_text: 1840
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / El restaurador de las leyes.jpg / page 10603704"",""url"":""https://commons.wikimedia.org/wiki/File:El_restaurador_de_las_leyes.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 describes the restoration of laws in Latin America and Argentina.",,,,
8,V33-HR-008,Explain SURF-CGS2026R0030 using only source-linked evidence.,"record_id: SURF-CGS2026R0030
title: Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg
date_text: 1842
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg / page 30060076"",""url"":""https://commons.wikimedia.org/wiki/File:Stamp_commemorating_the_centenary_of_the_birth_of_Jos%C3%A9_Manuel_Estrada.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary evidence.",,,,
9,V33-HR-009,Explain SURF-CGS2026R0031 using only source-linked evidence.,"record_id: SURF-CGS2026R0031
title: Facundo.jpg
date_text: 1845
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / Facundo.jpg / page 6629018"",""url"":""https://commons.wikimedia.org/wiki/File:Facundo.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is located in Latin America/Argentina.",,,,
10,V33-HR-010,Explain SURF-CRG2026R0027 using only source-linked evidence.,"record_id: SURF-CRG2026R0027
title: HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif
date_text: 1863
region: East Asia / China
source: {""name"":""Wikimedia Commons file source / HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif / page 16525059"",""url"":""https://commons.wikimedia.org/wiki/File:HQ._FEAF,_TOKYO-Col._John_K._Arnold_Jr._(right),_Montgomery,_Ala.,_is_escorted_by_Col._Herbert_R._Volin,_Tokyo_Air..._-_NARA_-_542291.tif"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary evidence.",,,,
11,V33-HR-011,Explain SURF-ER1830R015 using only source-linked evidence.,"record_id: SURF-ER1830R015
title: Indian trading [6 illustrations: 1. trader's store; 2. 2 en route; 3. preparing for trade; 4. the trading post and fort; 5. return from trading; 6. dissatisfaction - (Indian beating his wife)]
date_text: 1876.
region: India
source: {""name"":""Library of Congress loc.gov API"",""url"":""https://www.loc.gov/pictures/item/99614267/"",""access_date"":""2026-05-30""}","Based on these records, Record 1 describes the Indian trading post and fort.",,,,
12,V33-HR-012,Explain SURF-ER1830R046 using only source-linked evidence.,"record_id: SURF-ER1830R046
title: Aristide Bruant
date_text: 1893
region: France
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/13598"",""access_date"":""2026-05-30""}","Based on these records, Record 1 is not the current object.",,,,
13,V33-HR-013,Explain SURF-ER1830R059 using only source-linked evidence.,"record_id: SURF-ER1830R059
title: Sculptress
date_text: 1897
region: France, 19th century
source: {""name"":""Cleveland Museum Open Access API"",""url"":""https://clevelandart.org/art/1986.136"",""access_date"":""2026-05-30""}","Based on these records, Sculptress is the current object.",,,,
14,V33-HR-014,Explain SURF-ER1830R064 using only source-linked evidence.,"record_id: SURF-ER1830R064
title: Tell that to the Marines!
date_text: 1914/18
region: United States
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/7772"",""access_date"":""2026-05-30""}","Based on these records, Record 1 is the primary source for this object.",,,,
15,V33-HR-015,Explain SURF-ER1830R065 using only source-linked evidence.,"record_id: SURF-ER1830R065
title: To the Amputees—Join the Workforce
date_text: c. 1918
region: France
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/7933"",""access_date"":""2026-05-30""}","Based on these records, Record 1 describes the Amputees' Workforce.",,,,
16,V33-HR-016,Explain SURF-ER1830R066 using only source-linked evidence.,"record_id: SURF-ER1830R066
title: Buy a Little Present for the Kaiser
date_text: 1917/18
region: United States
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/7962"",""access_date"":""2026-05-30""}","Based on these records, Record 1 is the current object.",,,,
17,V33-HR-017,Explain SURF-ER1830R011 using only source-linked evidence.,"record_id: SURF-ER1830R011
title: Use Getz cockroach and bed bug exterminators, sold by all druggists I sink I tan hit it.
date_text: [between 1870 and 1890]
region: Unresolved region
source: {""name"":""Library of Congress loc.gov API"",""url"":""https://www.loc.gov/pictures/item/2008677258/"",""access_date"":""2026-05-30""}","Based on these records, Getz cockroach and bed bug exterminators are sold by all druggists I sink I tan hit it.",,,,
18,V33-HR-018,Explain SURF-ER1830R017 using only source-linked evidence.,"record_id: SURF-ER1830R017
title: [Advertising card for play ""Deacon Crankett""]
date_text: [between 1880 and 1882]
region: Unresolved region
source: {""name"":""Library of Congress loc.gov API"",""url"":""https://www.loc.gov/pictures/item/2014646356/"",""access_date"":""2026-05-30""}","Based on these records, Record 1 is an Unresolved region.",,,,
19,V33-HR-019,Compare SURF-CGS2026R0681 and SURF-CGS2026R0910 as graphic communication evidence.,"record_id: SURF-CGS2026R0681 ; SURF-CGS2026R0910
title: Diego Portales-D S No 20.JPG ; Republic of Rio Grande. And Friend of the People. (Brownsville, Tex.), Vol. 1, No. 4, Ed. 1 Tuesday, June 16, 1846 - DPLA - 9546c5d7758eb3aa72d3bb309e23827c (page 2).jpg
source: {""name"":""Wikimedia Commons file source / Diego Portales-D S No 20.JPG / page 7016695"",""url"":""https://commons.wikimedia.org/wiki/File:Diego_Portales-D_S_No_20.JPG"",""access_date"":""2026-06-06""} ; {""name"":""Wikimedia Commons file source / Republic of Rio Grande. And Friend of the People. (Brownsville, Tex.), Vol. 1, No. 4, Ed. 1 Tuesday, June 16, 1846 - DPLA - 9546c5d7758eb3aa72d3bb309e23827c (page 2).jpg / page 100419033"",""url"":""https://commons.wikimedia.org/wiki/File:Republic_of_Rio_Grande._And_Friend_of_the_People._(Brownsville,_Tex.),_Vol._1,_No._4,_Ed._1_Tuesday,_June_16,_1846_-_DPLA_-_9546c5d7758eb3aa72d3bb309e23827c_(page_2).jpg"",""access_date"":""2026-06-06""}","Based on these records, Diego Portales-D S No 20. JPG (1837) and Republic of Rio Grande. And Friend of the People. (Brownsville, Tex. ), Vol. 1, No. 4, Ed. 1 Tuesday, June 16, 1846 - DPLA - 9546c5d7758eb3aa72d3bb309e23827c (page 2). jpg (1846) are graphic communication evidence.",,,,
20,V33-HR-020,Compare SURF-CGS2026R0030 and SURF-CRG2026R0027 as graphic communication evidence.,"record_id: SURF-CGS2026R0030 ; SURF-CRG2026R0027
title: Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg ; HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif
source: {""name"":""Wikimedia Commons file source / Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg / page 30060076"",""url"":""https://commons.wikimedia.org/wiki/File:Stamp_commemorating_the_centenary_of_the_birth_of_Jos%C3%A9_Manuel_Estrada.jpg"",""access_date"":""2026-06-06""} ; {""name"":""Wikimedia Commons file source / HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif / page 16525059"",""url"":""https://commons.wikimedia.org/wiki/File:HQ._FEAF,_TOKYO-Col._John_K._Arnold_Jr._(right),_Montgomery,_Ala.,_is_escorted_by_Col._Herbert_R._Volin,_Tokyo_Air..._-_NARA_-_542291.tif"",""access_date"":""2026-06-06""}","Based on these records, SURF-CGS2026R0030 is a 1842 stamp commemorating the centenary of José Manuel Estrada, while SURF-CRG2026R0027 is a 1863 image of HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala. , is escorted by Col. Herbert R. Volin, Tokyo Air. - NARA - 542291. tif | 1863 | East Asia / China.",,,,
21,V33-HR-021,Compare SURF-CGS2026R0909 and SURF-CRG2026R0100 as graphic communication evidence.,"record_id: SURF-CGS2026R0909 ; SURF-CRG2026R0100
title: Republic of Rio Grande. And Friend of the People. (Brownsville, Tex.), Vol. 1, No. 2, Ed. 1 Saturday, June 6, 1846 - DPLA - d5d3c61ba6ef077f73cf4057ea8fb601 (page 1).jpg ; HYMNES et PAVILLONS DʼINDOCHINE 1941 Leaders flags anthems of French Indochina WW2 Vichy France 50 LUANG-PRABANG Le Patriote Lao Hymne national Laotien Thong Dy 01 - IDEO. Hanoi Unidentified author designer No know copyright restrict.jpg
source: {""name"":""Wikimedia Commons file source / Republic of Rio Grande. And Friend of the People. (Brownsville, Tex.), Vol. 1, No. 2, Ed. 1 Saturday, June 6, 1846 - DPLA - d5d3c61ba6ef077f73cf4057ea8fb601 (page 1).jpg / page 101008536"",""url"":""https://commons.wikimedia.org/wiki/File:Republic_of_Rio_Grande._And_Friend_of_the_People._(Brownsville,_Tex.),_Vol._1,_No._2,_Ed._1_Saturday,_June_6,_1846_-_DPLA_-_d5d3c61ba6ef077f73cf4057ea8fb601_(page_1).jpg"",""access_date"":""2026-06-06""} ; {""name"":""Wikimedia Commons file source / HYMNES et PAVILLONS DʼINDOCHINE 1941 Leaders flags anthems of French Indochina WW2 Vichy France 50 LUANG-PRABANG Le Patriote Lao Hymne national Laotien Thong Dy 01 - IDEO. Hanoi..."",""url"":""https://commons.wikimedia.org/wiki/File:HYMNES_et_PAVILLONS_D%CA%BCINDOCHINE_1941_Leaders_flags_anthems_of_French_Indochina_WW2_Vichy_France_50_LUANG-PRABANG_Le_Patriote_Lao_Hymne_national_Laotien_Thong_Dy_01_-_IDEO._Hanoi_Unidentified_author_designer_No_know_copyright_restrict.jpg"",""access_date"":""2026-06-06""}","Based on these records, SURF-CGS2026R0909 is a 1846 publication from Brazil, while SURF-CRG2026R0100 is a 1885 publication from Vietnam.",,,,
22,V33-HR-022,Compare SURF-CRG2026R0027 and SURF-ER1830R059 as graphic communication evidence.,"record_id: SURF-CRG2026R0027 ; SURF-ER1830R059
title: HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif ; Sculptress
source: {""name"":""Wikimedia Commons file source / HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif / page 16525059"",""url"":""https://commons.wikimedia.org/wiki/File:HQ._FEAF,_TOKYO-Col._John_K._Arnold_Jr._(right),_Montgomery,_Ala.,_is_escorted_by_Col._Herbert_R._Volin,_Tokyo_Air..._-_NARA_-_542291.tif"",""access_date"":""2026-06-06""} ; {""name"":""Cleveland Museum Open Access API"",""url"":""https://clevelandart.org/art/1986.136"",""access_date"":""2026-05-30""}","Based on these records, SURF-CRG2026R0027 is a Japanese military aerial reconnaissance image while SURF-ER1830R059 is a 19th-century French sculptress portrait.",,,,
23,V33-HR-023,Compare SURF-CRG2026R0032 and SURF-ER1830R052 as graphic communication evidence.,"record_id: SURF-CRG2026R0032 ; SURF-ER1830R052
title: East India postage Queen Victoria stamp used in Zanzibar- Two annas orange, 1865.jpg ; The Modern Poster
source: {""name"":""Wikimedia Commons file source / East India postage Queen Victoria stamp used in Zanzibar- Two annas orange, 1865.jpg / page 63346339"",""url"":""https://commons.wikimedia.org/wiki/File:East_India_postage_Queen_Victoria_stamp_used_in_Zanzibar-_Two_annas_orange,_1865.jpg"",""access_date"":""2026-06-06""} ; {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/55093"",""access_date"":""2026-05-30""}","Based on these records, the 1865 Zanzibar stamp is a South Asian currency, while the 1895 US Modern Poster is a US currency.",,,,
24,V33-HR-024,Compare SURF-ER1830R046 and SURF-ER1830R066 as graphic communication evidence.,"record_id: SURF-ER1830R046 ; SURF-ER1830R066
title: Aristide Bruant ; Buy a Little Present for the Kaiser
source: {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/13598"",""access_date"":""2026-05-30""} ; {""name"":""Art Institute of Chicago API"",""url"":""https://www.artic.edu/artworks/7962"",""access_date"":""2026-05-30""}","Based on these records, SURF-ER1830R066 is a superior graphic communication evidence as it provides more detailed and specific visual data compared to SURF-ER1830R046.",,,,
25,V33-HR-025,Recommend a research route through Global / release gate expansion and nearby period evidence.,"record_id: SURF-CRG2026R0050 ; SURF-CRG2026R0051
title: The Soviet Union 1970 CPA 3849 stamp (With Lenin (After Vladimir Serov)).jpg ; The Soviet Union 1970 CPA 3854 stamp (Fedot Sychkov and Painting Sledding from Hills).jpg
date_text: 1870
region: Global / release gate expansion
source: {""name"":""Wikimedia Commons file source / The Soviet Union 1970 CPA 3849 stamp (With Lenin (After Vladimir Serov)).jpg / page 39228667"",""url"":""https://commons.wikimedia.org/wiki/File:The_Soviet_Union_1970_CPA_3849_stamp_(With_Lenin_(After_Vladimir_Serov)).jpg"",""access_date"":""2026-06-06""} ; {""name"":""Wikimedia Commons file source / The Soviet Union 1970 CPA 3854 stamp (Fedot Sychkov and Painting Sledding from Hills).jpg / page 39286166"",""url"":""https://commons.wikimedia.org/wiki/File:The_Soviet_Union_1970_CPA_3854_stamp_(Fedot_Sychkov_and_Painting_Sledding_from_Hills).jpg"",""access_date"":""2026-06-06""}","Based on these records, the 1870 Global/Release gate expansion records suggest the region is a historical period of global expansion, while the 1830 France record indicates a specific local context. The 1870 records suggest the region is a historical period of global expansion, while the 1830 France record indicates a specific local context.",,,,
26,V33-HR-026,Recommend a research route through Global / release gate expansion and nearby period evidence.,"record_id: SURF-CRG2026R0052 ; SURF-CRG2026R0071
title: The Soviet Union 1970 CPA 3886 sheet with 16 labels (Lenin, 1920 with 16 labels 'Leader of the world proletariat').png ; The Soviet Union 1977 CPA 4695 stamp (Birth centenary of Felix Dzerzhinsky, 'Iron Felix', Bolshevik revolutionary and official, led Cheka and OGPU).png
date_text: 1870 ; 1877
region: Global / release gate expansion
source: {""name"":""Wikimedia Commons file source / The Soviet Union 1970 CPA 3886 sheet with 16 labels (Lenin, 1920 with 16 labels 'Leader of the world proletariat').png / page 39554690"",""url"":""https://commons.wikimedia.org/wiki/File:The_Soviet_Union_1970_CPA_3886_sheet_with_16_labels_(Lenin,_1920_with_16_labels_%27Leader_of_the_world_proletariat%27).png"",""access_date"":""2026-06-06""} ; {""name"":""Wikimedia Commons file source / The Soviet Union 1977 CPA 4695 stamp (Birth centenary of Felix Dzerzhinsky, 'Iron Felix', Bolshevik revolutionary and official, led Cheka and OGPU).png / page 102829467"",""url"":""https://commons.wikimedia.org/wiki/File:The_Soviet_Union_1977_CPA_4695_stamp_(Birth_centenary_of_Felix_Dzerzhinsky,_%27Iron_Felix%27,_Bolshevik_revolutionary_and_official,_led_Cheka_and_OGPU).png"",""access_date"":""2026-06-06""}","Based on these records, use The Soviet Union 1970 CPA 3886 sheet with 16 labels (Lenin, 1920 with 16 labels 'Leader of the world proletariat'). png; The Soviet Union 1977 CPA 4695 stamp (Birth centenary of Felix Dzerzhinsky, 'Iron Felix', Bolshevik revolutionary and official, led Cheka. and related records as a source-backed route through Global / release gate expansion; France around 1870; 1877 and related records.",,,,
