query_id,intent,lane,refusal_expected,candidate_count,prompt_tokens_est,ttft_ms,total_latency_ms,output_tokens,tokens_per_second,evidence_chars,slow_reason,recommendation
BQ166,more_context,research_answer,false,3,1282,6806,14291.599999904633,120,16.030779096068294,11063,total_latency_tail+large_prompt+long_output+large_evidence_text,Compress context skeleton and cap answer length.
BQ131,region_period_recommendation,research_answer,false,3,1099,4982.699999809265,13550.89999961853,60,7.002637660341221,10115,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Use route-specific field summaries and length control.
BQ167,more_context,research_answer,false,3,1258,5451.799999713898,13042.299999713898,48,6.323694091298334,11932,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ174,more_context,research_answer,false,3,1247,5165.300000190735,12774.800000190735,55,7.227807346080557,12020,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ132,region_period_recommendation,research_answer,false,3,948,5088.200000286102,12708.60000038147,79,10.366909873367716,10121,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ173,more_context,research_answer,false,3,1299,5130.400000095367,12544.699999809265,41,5.529854470628663,11128,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ136,region_period_recommendation,research_answer,false,3,935,4502.599999904633,12171.699999809265,64,8.345177400320226,10062,total_latency_tail+low_decode_speed+large_evidence_text,Use route-specific field summaries and length control.
BQ129,region_period_recommendation,research_answer,false,3,937,4738,12023.5,64,8.784572095257705,10319,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ110,comparison,research_answer,false,2,1029,4952.200000286102,11940.400000095367,60,8.585901949234085,8863,total_latency_tail+large_prompt,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ176,more_context,research_answer,false,3,1142,4678.799999713898,11891.599999904633,96,13.309671694412902,9475,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ260,more_context,research_answer,false,3,1221,4599,11755.900000095367,80,11.178024004657601,10916,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ130,region_period_recommendation,research_answer,false,3,1002,4542.400000095367,11732.5,69,9.59652856023076,10115,total_latency_tail+large_prompt+large_evidence_text,Use route-specific field summaries and length control.
BQ25,more_context,research_answer,false,3,1223,4864.199999809265,11718.199999809265,69,10.06711409395973,11715,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ26,more_context,research_answer,false,3,1223,4951.300000190735,11692.900000095367,92,13.646612080411392,11715,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ242,region_period_recommendation,research_answer,false,3,1119,4579,11687.699999809265,65,9.143725294602955,12535,total_latency_tail+large_prompt+large_evidence_text,Use route-specific field summaries and length control.
BQ243,region_period_recommendation,research_answer,false,3,1175,4643,11672.299999713898,59,8.393438891838645,12108,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Use route-specific field summaries and length control.
BQ244,region_period_recommendation,research_answer,false,3,1121,4566.099999904633,11585.900000095367,69,9.829339866965613,12549,total_latency_tail+large_prompt+large_evidence_text,Use route-specific field summaries and length control.
BQ213,current_object_explanation,fast_answer,false,3,1076,4520.799999713898,11456.099999904633,56,8.074632676086093,10962,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ065,current_object_explanation,fast_answer,false,3,999,4286.5,11453.400000095367,88,12.278669996627414,8840,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ141,region_period_recommendation,research_answer,false,3,956,4208.599999904633,11345.099999904633,96,13.451972255307224,10472,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ137,region_period_recommendation,research_answer,false,3,925,3893.800000190735,11316.900000095367,79,10.642453961419749,9981,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ172,more_context,research_answer,false,3,1153,4570.700000286102,11230.099999904633,70,10.51145748926477,11004,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ104,comparison,research_answer,false,2,787,3813.5,11207,68,9.197267870426726,8074,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ165,more_context,research_answer,false,3,1050,4101.900000095367,11170.699999809265,72,10.185604346270106,10735,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ169,more_context,research_answer,false,3,1072,4171.60000038147,11113,50,7.203157864803611,8783,total_latency_tail+low_decode_speed+large_prompt,Compress context skeleton and cap answer length.
BQ142,region_period_recommendation,research_answer,false,3,732,3576.7999997138977,10943.699999809265,50,6.78711534015023,8045,total_latency_tail+low_decode_speed,Use route-specific field summaries and length control.
BQ066,current_object_explanation,fast_answer,false,3,999,4259.599999904633,10919,86,12.914076343029166,8848,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ058,current_object_explanation,fast_answer,false,3,807,3785.800000190735,10891.099999904633,82,11.540680900637808,8745,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ059,current_object_explanation,fast_answer,false,3,791,3771.300000190735,10846.5,83,11.731117141881153,8304,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ255,more_context,research_answer,false,3,1052,4000.0999999046326,10832.799999713898,99,14.489147775076264,10753,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ259,more_context,research_answer,false,3,1029,3986.699999809265,10788.699999809265,78,11.467215524845635,9738,total_latency_tail+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ161,more_context,research_answer,false,3,1001,3706.5999999046326,10775.900000095367,50,7.072836065614837,9495,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ128,region_period_recommendation,research_answer,false,3,885,3980.1000003814697,10753.700000286102,113,16.682414078420774,10695,total_latency_tail+long_output+large_evidence_text,Use route-specific field summaries and length control.
BQ175,more_context,research_answer,false,3,964,3909.7999997138977,10710.599999904633,74,10.881072814657776,9319,total_latency_tail+large_evidence_text,Compress context skeleton and cap answer length.
BQ143,region_period_recommendation,research_answer,false,3,753,3721.300000190735,10703.200000286102,97,13.893066357105523,8142,total_latency_tail,Use route-specific field summaries and length control.
BQ072,current_object_explanation,fast_answer,false,3,1034,4007.3999996185303,10700.699999809265,67,10.01001000972476,9101,total_latency_tail+large_prompt+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ140,region_period_recommendation,research_answer,false,3,979,3975,10522.299999713898,92,14.051593787365814,10522,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ138,region_period_recommendation,research_answer,false,3,864,3764.5999999046326,10501.599999904633,42,6.234228885260501,9873,total_latency_tail+low_decode_speed+large_evidence_text,Use route-specific field summaries and length control.
BQ103,comparison,research_answer,false,2,798,3695.5999999046326,10415.900000095367,57,8.481764206714319,8507,total_latency_tail+low_decode_speed,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ068,current_object_explanation,fast_answer,false,3,953,3704.0999999046326,10379.800000190735,86,12.882544152121017,9059,total_latency_tail+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ240,region_period_recommendation,research_answer,false,3,929,3700.699999809265,10359.699999809265,60,9.010361916203635,11038,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ139,region_period_recommendation,research_answer,false,3,918,3865.4000000953674,10323.199999809265,76,11.768713803983873,10657,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ162,more_context,research_answer,false,3,919,3680.9000000953674,10313.400000095367,42,6.332453825857519,8158,total_latency_tail+low_decode_speed,Compress context skeleton and cap answer length.
BQ257,more_context,research_answer,false,3,1037,3766,10252.400000095367,102,15.725209669231058,9696,total_latency_tail+large_prompt+long_output+large_evidence_text,Compress context skeleton and cap answer length.
BQ133,region_period_recommendation,research_answer,false,3,739,3722,10251.5,71,10.873726931618041,9326,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ171,more_context,research_answer,false,3,944,3584.4000000953674,10237.800000190735,90,13.526918567756331,9711,total_latency_tail+large_evidence_text,Compress context skeleton and cap answer length.
BQ256,more_context,research_answer,false,3,952,3609.4000000953674,10182.700000286102,90,13.691753000378577,9444,total_latency_tail+large_evidence_text,Compress context skeleton and cap answer length.
BQ135,region_period_recommendation,research_answer,false,3,802,3555.300000190735,10144.900000095367,64,9.712273886264148,10382,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ214,current_object_explanation,fast_answer,false,3,859,3552.699999809265,10120.199999809265,53,8.070041872858775,10628,total_latency_tail+low_decode_speed+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ076,current_object_explanation,fast_answer,false,3,940,3512.7999997138977,10115.699999809265,67,10.147056596197475,8425,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ062,current_object_explanation,fast_answer,false,3,906,3474.7999997138977,10105.900000095367,55,8.294249822327517,8762,total_latency_tail+low_decode_speed,Prefer one primary object and move evidence tags before prose.
BQ229,comparison,research_answer,false,2,825,3507.300000190735,10042,63,9.640840436720712,8327,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ111,comparison,research_answer,false,2,739,3438.4000000953674,10003.199999809265,61,9.29198147737303,7187,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
